"日曜日は図書館に行きます。"	"I go to the library on Sundays.<br>#行く[いく]:go"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"私は夏休みにプールに行った。"	"I went to the pool during summer vacation.<br>#行く[いく]:go"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"私は絵を見るのが好きです。"	"I like looking at pictures.<br>#見る[みる]:see, look at"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"仕事のあと、映画を見た。"	"I saw a movie after work.<br>#見る[みる]:see, look at"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"京都にはお寺が多い。"	"There are a lot of temples in Kyoto.<br>#多い[おおい]:a lot of, many"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"この道は車が多い。"	"There are many cars on this road.<br>#多い[おおい]:a lot of, many"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"家に遊びにきてください。"	"Please come over to my home.<br>#家[うち]:home, household"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"夏休みにお祖母ちゃんの家へ行きました。"	"I went to my grandma's house during summer vacation.<br>#家[うち]:home, household"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"これをください。"	"I'll have this please.<br>#これ:this, this one"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"これはあなたの鞄ですか。"	"Is this your bag?<br>#これ:this, this one"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"それはとてもいい話だ。"	"That's a really nice story.<br>#それ:that, that one"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"それを一つください。"	"Please give me that one.<br>#それ:that, that one"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"私が行きましょう。"	"I'll go.<br>#私[わたし]:I (general)"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"私は毎朝コーヒーを飲みます。"	"I drink coffee every morning.<br>#私[わたし]:I (general)"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"3月は仕事が忙しい。"	"I'm busy at work in March.<br>#仕事[しごと]:work, job"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"彼女はいつ来ますか。"	"When is she coming?<br>#いつ:when"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"次はいつ会いましょうか。"	"When shall we meet again?<br>#いつ:when"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"友達と一緒に宿題をした。"	"I did my homework with my friend.<br>#する:do, make"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
"男の子たちがサッカーをしている。"	"The boys are playing soccer.<br>#する:do, make"	"Japanese Core 1000: Step 1<br>https://iknow.jp/courses/566921"
